2026-02-05 16:43:31 startup packages remove
2026-02-05 16:43:31 status installed ufw:all 0.36.2-9
2026-02-05 16:43:32 remove ufw:all 0.36.2-9 <none>
2026-02-05 16:43:32 status half-configured ufw:all 0.36.2-9
2026-02-05 16:43:32 status half-installed ufw:all 0.36.2-9
2026-02-05 16:43:32 status triggers-pending man-db:arm64 2.13.1-1
2026-02-05 16:43:33 status config-files ufw:all 0.36.2-9
2026-02-05 16:43:33 startup archives unpack
2026-02-05 16:43:33 install netfilter-persistent:all <none> 1.0.23
2026-02-05 16:43:33 status half-installed netfilter-persistent:all 1.0.23
2026-02-05 16:43:33 status unpacked netfilter-persistent:all 1.0.23
2026-02-05 16:43:34 install iptables-persistent:all <none> 1.0.23
2026-02-05 16:43:34 status half-installed iptables-persistent:all 1.0.23
2026-02-05 16:43:34 status unpacked iptables-persistent:all 1.0.23
2026-02-05 16:43:34 install ncal:arm64 <none> 12.1.8+b1
2026-02-05 16:43:34 status half-installed ncal:arm64 12.1.8+b1
2026-02-05 16:43:34 status unpacked ncal:arm64 12.1.8+b1
2026-02-05 16:43:34 install bsdmainutils:all <none> 12.1.8
2026-02-05 16:43:34 status half-installed bsdmainutils:all 12.1.8
2026-02-05 16:43:34 status unpacked bsdmainutils:all 12.1.8
2026-02-05 16:43:34 install grepcidr:arm64 <none> 2.0-2+b1
2026-02-05 16:43:34 status half-installed grepcidr:arm64 2.0-2+b1
2026-02-05 16:43:34 status unpacked grepcidr:arm64 2.0-2+b1
2026-02-05 16:43:35 startup packages configure
2026-02-05 16:43:35 configure ncal:arm64 12.1.8+b1 <none>
2026-02-05 16:43:35 status unpacked ncal:arm64 12.1.8+b1
2026-02-05 16:43:35 status half-configured ncal:arm64 12.1.8+b1
2026-02-05 16:43:35 status installed ncal:arm64 12.1.8+b1
2026-02-05 16:43:35 configure bsdmainutils:all 12.1.8 <none>
2026-02-05 16:43:35 status unpacked bsdmainutils:all 12.1.8
2026-02-05 16:43:35 status half-configured bsdmainutils:all 12.1.8
2026-02-05 16:43:35 status installed bsdmainutils:all 12.1.8
2026-02-05 16:43:35 configure grepcidr:arm64 2.0-2+b1 <none>
2026-02-05 16:43:35 status unpacked grepcidr:arm64 2.0-2+b1
2026-02-05 16:43:35 status half-configured grepcidr:arm64 2.0-2+b1
2026-02-05 16:43:35 status installed grepcidr:arm64 2.0-2+b1
2026-02-05 16:43:35 configure netfilter-persistent:all 1.0.23 <none>
2026-02-05 16:43:35 status unpacked netfilter-persistent:all 1.0.23
2026-02-05 16:43:35 status half-configured netfilter-persistent:all 1.0.23
2026-02-05 16:43:38 status installed netfilter-persistent:all 1.0.23
2026-02-05 16:43:38 configure iptables-persistent:all 1.0.23 <none>
2026-02-05 16:43:38 status unpacked iptables-persistent:all 1.0.23
2026-02-05 16:43:38 status half-configured iptables-persistent:all 1.0.23
2026-02-05 16:43:40 status installed iptables-persistent:all 1.0.23
2026-02-05 16:43:40 trigproc man-db:arm64 2.13.1-1 <none>
2026-02-05 16:43:40 status half-configured man-db:arm64 2.13.1-1
2026-02-05 16:43:49 status installed man-db:arm64 2.13.1-1
2026-02-05 16:50:11 startup archives unpack
2026-02-05 16:50:11 install libpkcs11-helper1t64:arm64 <none> 1.30.0-1+b1
2026-02-05 16:50:11 status triggers-pending libc-bin:arm64 2.41-12+rpt1
2026-02-05 16:50:11 status half-installed libpkcs11-helper1t64:arm64 1.30.0-1+b1
2026-02-05 16:50:11 status triggers-pending man-db:arm64 2.13.1-1
